DEPARTAMEN,PROVINCIA,DISTRITO,min,max,mean,count,std,percentile_10,percentile_90,range,riesgo_friaje
HUANUCO,PUERTO INCA,CODO DEL POZUZO,6.990805149078369,22.604116439819336,18.92349898726852,135,3.7427168836992255,13.63790225982666,22.388206481933594,13.7001371383667,Bajo
HUANUCO,PUERTO INCA,TOURNAVISTA,18.219289779663086,22.8608341217041,22.14223688299006,88,0.8250452263553346,,,,Bajo
UCAYALI,PADRE ABAD,ALEXANDER VON HUMBOLDT,21.94895362854004,22.266504287719727,22.07398796081543,16,0.09556913461147158,,,,Bajo
UCAYALI,PADRE ABAD,IRAZOLA,21.661476135253906,22.49635124206543,22.264789287860577,91,0.16205597475550243,22.07236099243164,22.4752197265625,0.8195667266845703,Bajo
UCAYALI,PADRE ABAD,NESHUYA,21.97576332092285,22.41595458984375,22.203550396543562,33,0.12929616672918945,,,,Bajo
UCAYALI,PADRE ABAD,PADRE ABAD,14.998992919921875,22.47966194152832,20.17801014005829,193,2.1789649591221107,,,,Bajo
UCAYALI,PADRE ABAD,CURIMANA,21.596651077270508,22.41595458984375,22.232303919417134,89,0.14299489569927587,,,,Bajo
HUANUCO,PUERTO INCA,PUERTO INCA,15.279991149902344,22.604116439819336,21.58741993947072,111,1.6532153029954304,,,,Bajo
UCAYALI,CORONEL PORTILLO,NUEVA REQUENA,21.799970626831055,22.632516860961914,22.299259686710858,99,0.1652887996634397,,,,Bajo
UCAYALI,CORONEL PORTILLO,CAMPOVERDE,21.85382080078125,22.466339111328125,22.214561462402344,64,0.13546118672417207,,,,Bajo
LORETO,UCAYALI,CONTAMANA,14.655349731445312,22.538833618164062,21.383155857591323,438,1.6929237463160232,,,,Bajo
LA LIBERTAD,TRUJILLO,HUANCHACO,16.21516990661621,19.696882247924805,18.72331824669471,26,0.7713061206149201,,,,Bajo
LA LIBERTAD,ASCOPE,SANTIAGO DE CAO,19.093469619750977,19.77030372619629,19.474110412597657,10,0.19211086083960605,,,,Bajo
LA LIBERTAD,TRUJILLO,SIMBAL,9.535781860351562,18.775310516357422,16.341064453125,28,2.3593540617521755,,,,Bajo
LA LIBERTAD,ASCOPE,MAGDALENA DE CAO,18.75404930114746,19.66498374938965,19.177932739257812,12,0.25297933413804646,,,,Bajo
LA LIBERTAD,ASCOPE,CHOCOPE,18.689577102661133,19.29369354248047,19.02207794189453,10,0.20626509228436504,,,,Bajo
LA LIBERTAD,ASCOPE,PAIJAN,18.578121185302734,19.040971755981445,18.865249633789062,8,0.1511642868256666,,,,Bajo
LA LIBERTAD,OTUZCO,SINSICAP,6.326693058013916,19.000314712524414,14.114094701306573,29,4.380078223236905,,,,Bajo
LA LIBERTAD,ASCOPE,CHICAMA,15.272915840148926,19.77030372619629,18.59881337483724,48,0.858230942301084,,,,Bajo
LA LIBERTAD,ASCOPE,RAZURI,18.141469955444336,19.151317596435547,18.73055366847826,23,0.22503708959199592,,,,Bajo
LA LIBERTAD,GRAN CHIMU,MARMOT,8.1094331741333,18.763877868652344,15.20578966642681,19,3.467271741800165,,,,Bajo
LA LIBERTAD,ASCOPE,ASCOPE,15.373263359069824,18.914888381958008,18.458107396175986,19,0.7914959338354819,,,,Bajo
LA LIBERTAD,GRAN CHIMU,CASCAS,6.231281757354736,19.000547409057617,14.950321320564516,31,3.8811382597430857,,,,Bajo
LA LIBERTAD,ASCOPE,CASA GRANDE,14.577942848205566,19.019798278808594,18.158831144634046,38,0.9956623345257181,,,,Bajo
CAJAMARCA,CONTUMAZA,SAN BENITO,9.426321983337402,19.000547409057617,15.798922834725216,29,3.0599443272438407,,,,Bajo
LA LIBERTAD,PACASMAYO,SAN PEDRO DE LLOC,17.184633255004883,19.137203216552734,18.60282939189189,37,0.34874215305602374,,,,Bajo
CAJAMARCA,CONTUMAZA,CUPISNIQUE,9.582362174987793,19.128551483154297,15.592575073242188,20,2.4303864016010754,,,,Bajo
TACNA,TACNA,CORONEL GREGORIO ALBARRACIN LANCHIPA,13.350729942321777,16.31453514099121,15.060939534505208,15,0.9687495154469655,,,,Bajo
TACNA,TACNA,POCOLLAY,4.229037761688232,15.020354270935059,11.879819123641305,23,2.3899870034216977,,,,Bajo
TACNA,TACNA,CALANA,11.730225563049316,14.362339973449707,12.604177093505859,10,0.7324424119514246,,,,Bajo
TACNA,TACNA,TACNA,-1.4889987707138062,17.374513626098633,12.955767118013823,104,4.02695738813264,,,,Bajo
TACNA,TACNA,SAMA,13.996537208557129,17.168054580688477,15.543822224934896,60,0.6586018559730127,,,,Bajo
TACNA,TACNA,CIUDAD NUEVA,7.791624546051025,13.340144157409668,11.969494819641113,16,1.3612323320252446,,,,Bajo
TACNA,JORGE BASADRE,ITE,13.29807186126709,18.102863311767578,15.706747365552326,43,1.1262674161400137,,,,Bajo
MOQUEGUA,ILO,ILO,13.816733360290527,18.069293975830078,16.489112160422586,22,1.2528684871297309,,,,Bajo
TACNA,TACNA,ALTO DE LA ALIANZA,4.1671977043151855,14.263370513916016,12.27312441225405,27,2.416655583261336,,,,Bajo
TACNA,TACNA,PACHIA,-6.377896785736084,13.244239807128906,7.744697570800781,40,5.284380747756638,,,,Moderado
TACNA,TARATA,ESTIQUE-PAMPA,4.0693678855896,13.340144157409668,7.408700382008272,17,3.088175356442957,,,,Moderado
TACNA,TARATA,ESTIQUE,-6.377896785736084,13.340144157409668,4.417062123616536,24,5.526031594982775,,,,Moderado
TACNA,TARATA,TARUCACHI,-5.750037670135498,7.441840648651123,0.15130334430270725,9,4.526357221709261,,,,Alto
